开始将文件名转换为中文 2025年 4月 7日 星期一 15时44分41秒 CST
2025-04-07 15:44:41 - 正在检索所有Markdown文件...
2025-04-07 15:44:41 - 跳过: docs/posts/reading/2025-04-07-《认知觉醒》读后感.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/reading/2025-04-07-《小狗钱钱》读后感.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/reading/2024-10-31-《供给侧改革背景下中国多层次农业保险产品结构研究》读书笔记.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/reading/2024-11-01-《“新基建”时代农业保险数智化转型》读书笔记.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/reading/2025-04-07-《“新基建”时代农业保险数智化转型》读书笔记.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/reading/2025-04-07-《精力管理》读后感.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/reading/2025-04-07-《大国经济学》读书感.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/personal-blog/2024-03-20-个人博客项目需求说明书.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/open-source/2024-03-18-钉钉监控：企业级应用实践.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/open-source/2025-04-03-dingtalk-message-monitor.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/family-life/2025-04-03-个人博客项目需求说明书.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/family-life/travel/2024-03-20-hangzhou-weekend-trip-plan.md - 文件名已经符合要求
2025-04-07 15:44:41 - 已重命名: docs/posts/family-life/travel/2024-03-20-2025-quanzhou-qingming-trip.md -> docs/posts/family-life/travel/2024-03-20-2025泉州清明之旅.md
2025-04-07 15:44:41 - 跳过: docs/posts/family-life/travel/2024-01-01-hangzhou-2024-new-year-plan.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-04-07-Desktop安装与汉化.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-04-03-how-to-get-notion-database-fields-summary.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-04-07-在.md - 文件名已经符合要求
2025-04-07 15:44:41 - 已重命名: docs/posts/tech-tools/2025-04-07-Text.md -> docs/posts/tech-tools/2025-04-07-Sublime-Text使用指南.md
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2024-04-03-Cursor-介绍.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-02-14-AI编程-DeepSeek-R1-vs-Claude-3.5-Sonnet.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-04-03-VSCode绘图插件使用指南.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-02-07-GitHub仓库三种克隆方式.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-04-07-满血使用.md - 文件名已经符合要求
