2025-04-07 11:39:02 - 开始修复剩余的文件名和标题问题...
2025-04-07 11:39:02 - 添加缺失的标题字段: /Users/dada/Documents/dada_blog/docs/posts/reading/2025-04-07-《认知觉醒》读后感.md
2025-04-07 11:39:02 -   已添加标题: 《认知觉醒》读后感
2025-04-07 11:39:02 - 添加缺失的标题字段: /Users/dada/Documents/dada_blog/docs/posts/reading/2025-04-07-《小狗钱钱》读后感.md
2025-04-07 11:39:02 -   已添加标题: 《小狗钱钱》读后感
2025-04-07 11:39:02 - 添加缺失的标题字段: /Users/dada/Documents/dada_blog/docs/posts/reading/2025-04-07-《精力管理》读后感.md
2025-04-07 11:39:02 -   已添加标题: 《精力管理》读后感
2025-04-07 11:39:02 - 添加缺失的标题字段: /Users/dada/Documents/dada_blog/docs/posts/reading/2025-04-07-《大国经济学》读书感.md
2025-04-07 11:39:02 -   已添加标题: 《大国经济学》读书感
2025-04-07 11:39:02 - 处理格式不正确的文件: /Users/dada/Documents/dada_blog/docs/posts/tech-tools/2025-02-16-description-
2025-04-07 11:39:02 - 处理格式不正确的文件: -.md
2025-04-07 11:39:02 - 添加缺失的标题字段: /Users/dada/Documents/dada_blog/docs/posts/product-management/2025-04-07-如何理解中台？.md
2025-04-07 11:39:02 -   已添加标题: 如何理解中台？
2025-04-07 11:39:03 - 添加缺失的标题字段: /Users/dada/Documents/dada_blog/docs/posts/product-management/2025-04-07-从小青龙3号解析保险产品模型.md
2025-04-07 11:39:03 -   已添加标题: 从小青龙3号解析保险产品模型
2025-04-07 11:39:03 - 处理格式不正确的文件: /Users/dada/Documents/dada_blog/docs/posts/product-management/2024-10-30-description-
2025-04-07 11:39:03 - 处理格式不正确的文件: -.md
2025-04-07 11:39:03 - 添加缺失的标题字段: /Users/dada/Documents/dada_blog/docs/posts/product-management/2025-04-07-规则引擎——产品设计高阶思维.md
2025-04-07 11:39:03 -   已添加标题: 规则引擎——产品设计高阶思维
2025-04-07 11:39:03 - 添加缺失的标题字段: /Users/dada/Documents/dada_blog/docs/posts/product-management/2025-04-07-保全系统建设.md
2025-04-07 11:39:03 -   已添加标题: 保全系统建设
2025-04-07 11:39:03 - 添加缺失的标题字段: /Users/dada/Documents/dada_blog/docs/posts/product-management/2025-04-07-PM12条.md
2025-04-07 11:39:03 -   已添加标题: PM12条
2025-04-07 11:39:03 - 添加缺失的标题字段: /Users/dada/Documents/dada_blog/docs/posts/product-management/2025-04-07-产品经理如何做项目管理？.md
2025-04-07 11:39:03 -   已添加标题: 产品经理如何做项目管理？
2025-04-07 11:39:03 - 处理格式不正确的文件: /Users/dada/Documents/dada_blog/docs/posts/product-management/2025-01-15-description-
2025-04-07 11:39:03 - 处理格式不正确的文件: -.md
2025-04-07 11:39:03 - 添加缺失的标题字段: /Users/dada/Documents/dada_blog/docs/posts/product-management/2025-04-07-B端需求分析与挖掘.md
2025-04-07 11:39:03 -   已添加标题: B端需求分析与挖掘
2025-04-07 11:39:03 - 添加缺失的标题字段: /Users/dada/Documents/dada_blog/docs/posts/finance/2025-04-07-一文详解房地产投资.md
2025-04-07 11:39:03 -   已添加标题: 一文详解房地产投资
2025-04-07 11:39:03 - 添加缺失的标题字段: /Users/dada/Documents/dada_blog/docs/posts/finance/2025-04-07-投资前必知必会.md
2025-04-07 11:39:03 -   已添加标题: 投资前必知必会
2025-04-07 11:39:03 - 添加缺失的标题字段: /Users/dada/Documents/dada_blog/docs/posts/finance/2025-04-07-港币购买美债学习.md
2025-04-07 11:39:03 -   已添加标题: 港币购买美债学习
2025-04-07 11:39:03 - 添加缺失的标题字段: /Users/dada/Documents/dada_blog/docs/posts/finance/2025-04-07-投资基金的常见费用.md
2025-04-07 11:39:03 -   已添加标题: 投资基金的常见费用
2025-04-07 11:39:03 - 添加缺失的标题字段: /Users/dada/Documents/dada_blog/docs/posts/insurance/2025-04-07-一文读懂保险销售渠道.md
2025-04-07 11:39:03 -   已添加标题: 一文读懂保险销售渠道
2025-04-07 11:39:03 - 添加缺失的标题字段: /Users/dada/Documents/dada_blog/docs/posts/insurance/2025-04-07-保险条文是如何开发出来的？.md
2025-04-07 11:39:03 -   已添加标题: 保险条文是如何开发出来的？
2025-04-07 11:39:03 - 处理完成。
2025-04-07 11:39:03 - 总文件数: 109
2025-04-07 11:39:03 - 修复的文件名格式: 6
2025-04-07 11:39:03 - 修复的标题不匹配: 109
2025-04-07 11:39:03 - 运行文件名格式检查...
2025-04-07 11:39:04 - 检查完成！结果已保存到 /Users/dada/Documents/dada_blog/logs/filename_check_results.txt
2025-04-07 11:39:04 - 所有修复任务完成。
